net,ref,pin,pin_name,note
Y4,D15,11,Y4,-> D3.3.5 (NMI inverter, traced)
Y5,D15,10,Y5,counter reset (label) + D16.3.9 (traced)
Y6,D15,9,Y6,-> D30.1.3 / D30.2.11 clocks + D80.1.1 (traced)
Y7,D15,7,Y7,-> D41.3.10 (data-out enable, traced)
# --- status register D36 (К555ИР23): DI 1-8, DO 19..12 -> IB.8..1 (= ADL07..ADL00 read by the ПВК) ---
IB.8,D36,19,DO0,ADL07 (status bit 7)
IB.7,D36,18,DO1,ADL06 (status bit 6)
IB.6,D36,17,DO2,ADL05 (status bit 5)
IB.5,D36,16,DO3,ADL04 (status bit 4)
IB.4,D36,15,DO4,ADL03 (status bit 3)
IB.3,D36,14,DO5,ADL02 (status bit 2)
IB.2,D36,13,DO6,ADL01 (status bit 1)
IB.1,D36,12,DO7,ADL00 (status bit 0)
Y1,D36,9,OE,traced
MD_N,D36,11,C,wire-traced: <- D9.16 (~МD)
D30_2_Q,D36,4,DI3,wire-traced: <- D30.2.9
D30_1_Q,D36,7,DI6,wire-traced: <- D30.1.6
G_D36_2,D36,2,DI1,? wire runs to the bottom bus line (no label read at its end)
G_D36_3,D36,3,DI2,? wire goes up (D35 region)
G_D36_5,D36,5,DI4,? wire goes up
G_D36_6,D36,6,DI5,? wire goes up to y~2266 (D35 region)
G_D36_8,D36,8,DI7,? short wire to the bus-box bottom edge
IRQ30A,D36,1,DI0,wire to the bottom bus line, label 24 (XS1.24 30А) read at 3x
# --- test ROM D5 (К573РФ5, 2716) + counters D1.1/D1.2/D2.1 (К555ИЕ19) ---
+5V,D5,21,VPP,
Y0,D5,20,CS,wire-traced: <- D15.15
D16_1_OUT,D5,18,OE,wire-traced: <- D16.1 out (pin 3)
IB.1,D5,9,DO0,
IB.2,D5,10,DO1,
IB.3,D5,11,DO2,
IB.4,D5,13,DO3,
IB.5,D5,14,DO4,
IB.6,D5,15,DO5,
IB.7,D5,16,DO6,
IB.8,D5,17,DO7,
TA0,D5,8,A0,
TA1,D5,7,A1,
TA2,D5,6,A2,
TA3,D5,5,A3,
TA4,D5,4,A4,
TA5,D5,3,A5,
TA6,D5,2,A6,
TA7,D5,1,A7,
TA8,D5,23,A8,
TA9,D5,22,A9,
TA10,D5,19,A10,
Y5,D1,2,R,counter reset (D1.1)
Y5,D1,12,R,(D1.2)
Y5,D2,2,R,(D2.1)
IB.17,D1,1,C,wire-traced: D1.1 clock <- D3.1 out (net 17)
TA0,D1,3,Q0,D1.1
TA1,D1,4,Q1,D1.1
TA2,D1,5,Q2,D1.1
TA3,D1,6,Q3,D1.1 -> also D1.2 clock
TA3,D1,13,C,D1.2 clock <- D1.1 Q3
TA4,D1,11,Q0,D1.2
TA5,D1,10,Q1,D1.2
TA6,D1,9,Q2,D1.2
TA7,D1,8,Q3,D1.2 -> also D2.1 clock
TA7,D2,1,C,D2.1 clock <- D1.2 Q3
TA8,D2,3,Q0,D2.1
TA9,D2,4,Q1,D2.1
TA10,D2,5,Q2,D2.1
Y0,D3,1,IN,? D3.1 input: joins the D5.20 (Y0) wire at a junction by eye; the tracer left it single-ended
IB.17,D3,2,OUT,D3.1 output = net 17 -> D1.1 clock
# --- ready / select glue on strip 2 (wire-traced): D25.3, D55 (AND gates), D16.4, D80.4 ---
G25_4o,D25,10,IN,D25.3 <- D25.4 out (the strip-2 wire end sits at D25.4 pin 11)
INTA,D25,9,IN,D25.3 <- INTA (strip-2 wire end at D18.14 by height) ?
D25_3_OUT,D25,8,OUT,D25.3 -> D55.3.9
D47_Q0,D55,10,IN,D55.3 <- D47 Q0
D25_3_OUT,D55,9,IN,D55.3 <- D25.3 out
D55_3_OUT,D55,8,OUT,D55.3 -> D55.2.5
D55_3_OUT,D55,5,IN,D55.2
D55_1_OUT,D55,4,IN,D55.2 <- D55.1 out
AEN2,D55,6,OUT,D55.2 -> long top run to strip 1 = D4.7 AEN2 (matched by height)
D16_4_OUT,D55,12,IN,D55.1 <- D16.4 out
SEL.43,D55,13,IN,D55.1 <- label 43
D55_1_OUT,D55,11,OUT,D55.1 -> D55.2.4
SEL46_N,D16,13,IN,D16.4 <- D80.4 out
SEL.43,D16,12,IN,D16.4 <- label 43
D16_4_OUT,D16,11,OUT,D16.4 -> D32.2.4 / D55.1.12
SEL.46,D80,11,IN,D80.4 <- D47 Q1 (net 46)
SEL46_N,D80,10,OUT,D80.4 -> D16.4.13
# --- DRAM sequencer (wire-traced on strips 2 and 3 + local wires at 2x): D39.1, D43.1/D43.2, D48.1/D48.2, D29.2 (К155АГ3), gates; refs settled on strip 3 where the labels are clear ---
# 'SQ.n' = the DRAM-controller STATE bus (thick vertical right of the sequencer): SQ.1-9 address the microcode PROM D44 (A0..A8 <- 1,2,3,4,5,9,6,8,7), SQ.10 -> D48.2 R, SQ.16 = MA.16 (D54 DO6, drawn 16/2), SQ.17 = MA.17 (D80.3 -> D41.4.12, drawn 17/2)
GND,D29,9,A1,0В
D29_B,D29,10,A2,long line from the left (D35.2 Q candidate) ?
D29_R,D29,11,R,<- R12 pull-up (+5V) ?
D29_C,D29,6,C,<- C2
D29_RC,D29,7,RC,<- R13 -> +5V
D29_2_Q,D29,5,Q,-> D43.2.10 (S) traced
G_D35_4,D35,4,S,D35.1 S <- wire from the left ?
G_D35_13,D35,13,R,D35.2 R <- wire from the left with a junction going up ?
GND,D35,12,D,0В
G_D35_11,D35,11,C,D35.2 C <- long wire from the left ?
G_D35_10,D35,10,S,D35.2 S <- wire from the left ?
G_D35_9,D35,9,Q,D35.2 Q -> right then down to (1264,2976) on strip 2; D29.2.B candidate ?
D39_RS,D39,1,R,D39.1 R tied to S (traced) - +5V expected
D39_RS,D39,4,S,D39.1 S
OSC,D39,3,C,D39.1 C = D4 OSC: the OSC wire reaches the strip-1 edge at y=2129 and the D39.1 C wire the strip-2 edge at y=2150 (dy 21, within the strip offset)
D39_D_CLK,D39,2,D,D39.1 D = D2.2 clock net (traced on strip 2); source ?
G_D39_6,D39,6,Q,D39.1 Q -> short wire ?
D39_1_QN,D39,5,QN,D39.1 Q-bar -> clocks D48.1 / D43.1? / D43.2 (traced)
D43_R,D43,1,R,D43.1 R = D43.2 R (traced); source ?
D32_4_OUT,D43,2,D,D43.1 D <- D32.4 out (traced on strip 2)
D39_1_QN,D43,3,C,D43.1 C <- D39.1 Q-bar
G_D43_4,D43,4,S,D43.1 S short wire (+5V?) ?
D43_1_QN,D43,6,QN,D43.1 Q-bar -> D40.4.12 + D48.2.10 (strips 2+3)
SQ.10,D48,13,R,D48.2 R <- right-bus label 10 (strip 3 tracer end at the label)
SQ_A,D48,12,D,D48.2 D = D80.3.5 net (strips 2+3)
D42_4_OUT,D48,11,C,D48.2 C <- D42.4 out (strips 2+3)
D48_2_Q,D48,9,Q,D48.2 Q -> D40.4.13 (strips 2+3)
SQ.6,D48,8,QN,D48.2 Q-bar = label 6 = D42.1.2 = D41 gate input (strip 3)
D43_1_QN,D48,10,S,D48.2 S <- D43.1 Q-bar (strip 3)
D39_1_QN,D48,3,C,D48.1 C <- D39.1 Q-bar
D48_1_D,D48,2,D,D48.1 D = D42.3.9 net (two inputs; source ?)
G_D48_1,D48,1,R,D48.1 R short wire (R17-R19 pull-ups nearby) ?
G_D48_5,D48,5,Q,D48.1 Q -> up ?
SEL.43,D48,4,S,D48.1 S <- label 43 (wire followed at 1x on strip 2)
D43_R,D43,13,R,D43.2 R
D43_2_D,D43,12,D,D43.2 D = D40.3.10 net (two inputs; source ?)
D39_1_QN,D43,11,C,D43.2 C
D29_2_Q,D43,10,S,D43.2 S <- D29.2 Q
G_D43_9,D43,9,Q,D43.2 Q -> up ?
SQ.5,D43,8,QN,D43.2 Q-bar -> right-bus label 5 = D42.1.1 (strip 3)
D43_1_QN,D40,12,IN,D40.4 <- D43.1 Q-bar
D48_2_Q,D40,13,IN,D40.4 <- T_D Q
D40_4_OUT,D40,11,OUT,D40.4 -> D80.5.13
D40_4_OUT,D80,13,IN,D80.5
G_D80_12,D80,12,OUT,D80.5 -> toward the D48/D43 group ?
SQ.5,D42,1,IN,D42.1 <- label 5 (D43.2 Q-bar)
SQ.6,D42,2,IN,D42.1 <- label 6 (D48.2 Q-bar); strip 3
G_D42_3,D42,3,OUT,D42.1 -> ?
D48_1_D,D42,9,IN,D42.3 = D48.1.D net
G_D42_10,D42,10,IN,D42.3 <- wire from the right bus area ?
D42_3_OUT,D42,8,OUT,D42.3 -> D42.4 (12+13 tied) (2x)
D42_3_OUT,D42,12,IN,D42.4
D42_3_OUT,D42,13,IN,D42.4
D42_4_OUT,D42,11,OUT,D42.4 -> T_D C
G_D40_9,D40,9,IN,D40.3 <- wire going up ?
D43_2_D,D40,10,IN,D40.3 <- D43.2.D net
G_D40_8,D40,8,OUT,D40.3 -> ?
G_D40_5,D40,5,IN,D40.2 (AND, drawn '&' with pins 5/4->6; its label reads D41.2 but all four D41 gates are placed elsewhere) <- top run ?
SQ.6,D40,4,IN,D40.2 <- label 6 (D48.2 Q-bar)
G_D40_6,D40,6,OUT,D40.2 -> up ?
SQ_A,D80,5,IN,D80.3 <- T_D D line
MA.17,D80,6,OUT,D80.3 -> bus label 17/2 -> D41.4.12 (strip 3)
# --- DRAM controller (strip 3 left / strip 2 right, read at 1.6x): D44 КР556РТ5 outputs -> R20-R27 pull-ups -> D54 К555ИР23 register -> MA controls ---
# D54 (as drawn): DI 3,4,7,8,13,14,17,18; DO 2,5,6,9,12,15,16,19; pin 1 (OE) -> 0В; pin 11 = C
# CAS is split by byte (л.3 grid: D58 CS <- 12, D59 CS <- 13): MA.12 -> row 1 (D0-D7) + check bank A, MA.13 -> row 2 (D8-D15) + check bank B; the generator assigns them per chip (DRAM_CAS_B)
# D44 inputs (strip 2, 1.6x): A0..A8 = pins 8,7,6,5,4,3,2,1,23 <- state-bus labels; S1/S2 (18/19) tied <- R14; S3/S4 (20/21) tied -> 0В; pin 22 'V' <- line from the left
SQ.1,D44,8,A0,
SQ.2,D44,7,A1,
SQ.3,D44,6,A2,
SQ.4,D44,5,A3,
SQ.5,D44,4,A4,= D43.2 Q-bar
SQ.9,D44,3,A5,
SQ.6,D44,2,A6,= D48.2 Q-bar
SQ.8,D44,1,A7,
SQ.7,D44,23,A8,
D44_S12,D44,18,S1,<- R14 (pull-up) ; tied to S2
D44_S12,D44,19,S2,
GND,D44,20,S3,0В (tied to S4)
GND,D44,21,S4,
G_D44_22,D44,22,V,<- line from the left ?
D44_Q0,D44,9,Q0,R20 pull-up -> D54.3
D44_Q1,D44,10,Q1,R21 -> D54.4
D44_Q2,D44,11,Q2,R22 -> D54.7
D44_Q3,D44,13,Q3,R23 -> D54.8
D44_Q4,D44,14,Q4,R24 -> D54.13
D44_Q5,D44,15,Q5,R25 -> D54.14
D44_Q6,D44,16,Q6,R26 -> D54.17
D44_Q7,D44,17,Q7,R27 -> D54.18
D44_Q0,D54,3,DI0,
D44_Q1,D54,4,DI1,
D44_Q2,D54,7,DI2,
D44_Q3,D54,8,DI3,
D44_Q4,D54,13,DI4,
D44_Q5,D54,14,DI5,
D44_Q6,D54,17,DI6,
D44_Q7,D54,18,DI7,
MA.11,D54,2,DO0,RAS (drawn 11/26)
MA.12,D54,5,DO1,CAS half A (drawn 12/13)
MA.13,D54,6,DO2,CAS half B (drawn 13/13)
MA.10,D54,9,DO3,WE (drawn 10/26)
MA.14,D54,12,DO4,drawn 14/2
MA.15,D54,15,DO5,drawn 15/2
MA.16,D54,16,DO6,drawn 16/2 = the sequencer-bus label 16
G_D54_19,D54,19,DO7,-> wire up along the bus ?
GND,D54,1,OE,0В
G_D54_11,D54,11,C,<- long line from the left (sequencer clock) ?
MA.17,D41,12,IN,D41.4 <- bus label 17
G_D41_13,D41,13,IN,D41.4 <- long line from the left ?
G_D41_11,D41,11,OUT,D41.4 -> right then down and left (long line) ?
# --- DRAM address multiplexer D45/D46 (К555ИР22, л.3 at 1x): DO 2,5,6,9,12,15,16,19 -> MA.1..8 (D45 drawn 1/27..8/27, D46 drawn 1..8 = same nets); DI and E/C on strip 2 ---
# D45/D46 inputs (strip 2 at 1x): DI 3,4,7,8,13,14,17,18; D45 <- LA.1-8 (row address A1-A8), D46 <- LA.10-17 (column address); C (11) of both <- R15 -> +5V (transparent); E (1) = output enable from the left
LA.1,D45,3,DI0,A1
LA.2,D45,4,DI1,A2
LA.3,D45,7,DI2,A3
LA.4,D45,8,DI3,A4
LA.5,D45,13,DI4,A5
LA.6,D45,14,DI5,A6
LA.7,D45,17,DI6,A7
LA.8,D45,18,DI7,A8
LA.10,D46,3,DI0,A10
LA.11,D46,4,DI1,A11
LA.12,D46,7,DI2,A12
LA.13,D46,8,DI3,A13
LA.14,D46,13,DI4,A14
LA.15,D46,14,DI5,A15
LA.16,D46,17,DI6,A16
LA.17,D46,18,DI7,A17
R15_C,D45,11,C,<- R15 -> +5V (transparent latch)
R15_C,D46,11,C,
G_D45_1,D45,1,OE,row/column select from the left ?
G_D46_1,D46,1,OE,?
MA.1,D45,2,DO0,
MA.2,D45,5,DO1,
MA.3,D45,6,DO2,
MA.4,D45,9,DO3,
MA.5,D45,12,DO4,
MA.6,D45,15,DO5,
MA.7,D45,16,DO6,
MA.8,D45,19,DO7,
MA.1,D46,2,DO0,
MA.2,D46,5,DO1,
MA.3,D46,6,DO2,
MA.4,D46,9,DO3,
MA.5,D46,12,DO4,
MA.6,D46,15,DO5,
MA.7,D46,16,DO6,
MA.8,D46,19,DO7,
# --- step/refresh counter and A8 multiplexer left of the sequencer (strip 2, traced + labels at 3x) ---
# D2.2 = К555ИЕ19 second counter: C 13, R 12, outputs 11 (1), 10 (2), 9 (4) -> state-bus bits 1-3 with pull-ups R17-R19
D39_D_CLK,D2,13,C,D2.2 clock = D39.1 D net (traced); source ?
D48_1_Q,D2,12,R,D2.2 reset <- D48.1 Q (traced)
SQ.1,D2,11,Q0,-> state-bus label 1 (R17)
SQ.2,D2,10,Q1,-> label 2 (R18)
SQ.3,D2,9,Q2,-> label 3 (R19)
D48_1_Q,D48,5,Q,D48.1 Q -> D2.2 R (traced)
SEL.39,D25,4,IN,D25.2 <- label 39 (MWTC)
SEL.40,D25,5,IN,D25.2 <- label 40 (MRDC)
G_D25_6,D25,6,OUT,D25.2 -> ?
G_D32_9,D32,9,IN,D32.4 <- wire from above ?
SEL.45,D32,10,IN,D32.4 <- label 45
D32_4_OUT,D32,8,OUT,D32.4 -> D43.1 D
LA.9,D17,2,IN,D17.1 <- bus label 9 (A9 = row-address bit 8)
G_D17_1,D17,1,IN,D17.1 <- vertical with a junction (row select; SEL.48 expected as the pair of 49) ?
MA.9,D17,3,OUT,D17.1 (open collector) wired-AND with D17.4.11 -> MA.9 (drawn 9/26)
SEL.49,D17,13,IN,D17.4 <- label 49 (column select)
G_D17_12,D17,12,IN,D17.4 <- vertical with a junction (LA.18 expected) ?
MA.9,D17,11,OUT,D17.4 (open collector) -> MA.9
# --- interface data bus IB (bottom-left group): XS1 <-> D6/D7 (КР559ИП13 as drawn: A 19-12, B 1-8, E1 9, E2 11) <-> IB.1-16 ---
XS1_AD00,D6,19,A0,
XS1_AD01,D6,18,A1,
XS1_AD02,D6,17,A2,
XS1_AD03,D6,16,A3,
XS1_AD04,D6,15,A4,
XS1_AD05,D6,14,A5,
XS1_AD06,D6,13,A6,
XS1_AD07,D6,12,A7,
IB.1,D6,1,B0,drawn /4
IB.2,D6,2,B1,drawn /5
IB.3,D6,3,B2,drawn /5
IB.4,D6,4,B3,drawn /5
IB.5,D6,5,B4,drawn /4
IB.6,D6,6,B5,drawn /4
IB.7,D6,7,B6,drawn /4
